Country,Area
Algeria,"2,381,741"
Angola,"1,246,700"
Benin,"114,763"
Botswana,"581,730"
Burundi,"27,834"
Burkina Faso,"274,200"
Cameroon,"475,442"
Central African Rep.,"622,984"
Chad,"1,284,000"
Comoros,"1,862"
Democratic Republic of the Congo,"2,345,409"
Republic of Congo,"342,000"
Djibouti,"23,200"
Egypt,"1,010,408"
Eq. Guinea,"28,050"
Eritrea,"117,600"
Ethiopia,"1,104,300"
Gabon,"267,667"
Gambia,"10,689"
Ghana,"239,567"
Guinea,"245,836"
Guinea-Bissau,"36,125"
Kenya,"580,367"
Lesotho,"30,355"
Liberia,"111,369"
Madagascar,"587,041"
Malawi,"118,484"
Mali,"1,240,192"
Mauritania,"1,030,000"
Mauritius,"2,040"
Morocco,"710,850"
Mozambique,"801,590"
Namibia,"825,615"
Niger,"1,267,000"
Nigeria,"923,768"
Rwanda,"26,338"
Sao Tome and Principe,"1,001"
Senegal,"196,712"
Seychelles,459
Sierra Leone,"71,740"
South Africa,"1,221,037"
S. Sudan,"619,745"
Sudan,"1,886,068"
Swaziland,"17,364"
Tanzania,"947,303"
Togo,"56,785"
Tunisia,"163,610"
Uganda,"241,038"
Zambia,"752,618"
Zimbabwe,"390,757"
Ivory Coast,"322,463"
Cape Verde,4033
Libya,"679,400"
Somalia,"246,201"