Lon,Lat,City,State,Date,Attendance,Movement,Cause,Description
-121.3153096,44.0581728,Bend,OR,2018-01-20,3000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-123.2620435,44.5645659,Corvallis,OR,2017-04-22,4450,U.S. Politics,Scientific Funding,March for Science
-123.2620435,44.5645659,Corvallis,OR,2018-01-20,4000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-123.0950506,44.0505054,Eugene,OR,2017-04-22,1725,U.S. Politics,Scientific Funding,March for Science
-123.0950506,44.0505054,Eugene,OR,2018-01-20,7000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-123.0950506,44.0505054,Eugene,OR,2017-06-03,500,U.S. Politics,Politician Opposition,Demand investigation into Trump-Russia ties
-123.3272489,42.4393707,Grants Pass,OR,2018-01-20,900,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-122.8718605,42.3264181,Medford,OR,2017-04-29,1245,Environmental & Food Justice,Climate Justice,People's Climate March
-122.8718605,42.3264181,Medford,OR,2018-01-20,10000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-124.053442,44.636755,Newport,OR,2017-04-22,600,U.S. Politics,Scientific Funding,March for Science
-122.6741949,45.5202471,Portland,OR,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-122.6741949,45.5202471,Portland,OR,2017-04-29,1000,Environmental & Food Justice,Climate Justice,People's Climate March
-122.6741949,45.5202471,Portland,OR,2017-08-18,1000,Racial Justice,Anti-Racism,Protesting violence/racism in Charlottesville
-122.6741949,45.5202471,Portland,OR,2017-12-12,2800,U.S. Politics,Politician Support,Hillary Clinton Democratic Rally 
-122.6741949,45.5202471,Portland,OR,2018-02-03,1000,Other,White Nationalism,"Rallying for freedom of speech, religion and President Donald Trump's agenda"
-122.6741949,45.5202471,Portland,OR,2018-01-20,1000,U.S. Politics,Politician Opposition,National March for Impeachment
-122.6741949,45.5202471,Portland,OR,2018-01-20,637,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-122.6741949,45.5202471,Portland,OR,2018-01-15,566,Other,Equality & Diversity,4th Annual Children's March for Social Justice
-122.6741949,45.5202471,Portland,OR,2017-06-04,945,U.S. Politics,Politician Opposition,Oppose fascism; counter protest Trump Free Speech rally
-122.6741949,45.5202471,Portland,OR,2017-05-01,2000,Workers & Labor Rights,Immigrant Rights,May Day; Trump immigration policies
-122.6741949,45.5202471,Portland,OR,2017-09-30,1000,U.S. Politics,Health Care,Protesting lack of support for addiction treatment
-123.033121,44.9391565,Salem,OR,2017-04-22,1000,U.S. Politics,Scientific Funding,March for Science
-123.033121,44.9391565,Salem,OR,2017-02-19,600,Racial Justice,Immigrant Rights,Immigrant rights protest
-123.033121,44.9391565,Salem,OR,2018-01-21,1000,Women's Rights,General Awareness,Empower Voters to Support Womens's Rights
-75.3705000,40.62590,Bethlehem,PA,2017-04-22,500,U.S. Politics,Scientific Funding,March for Science
-75.3705000,40.62590,Bethlehem,PA,2018-01-20,500,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-75.1304373,40.3100865,Doylestown,PA,2018-01-21,1000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-80.0852421,42.1290657,Erie,PA,2017-04-22,600,U.S. Politics,Scientific Funding,March for Science
-80.0852421,42.1290657,Erie,PA,2017-09-04,600,Workers & Labor Rights,Living Wages,Rally for higher wages
-76.8861122,40.2663107,Harrisburg,PA,2017-04-29,7000,U.S. Politics,Politician Support,President Trump rally
-76.8861122,40.2663107,Harrisburg,PA,2017-02-05,1000,Racial Justice,Immigrant Rights,immigration ban
-76.8861122,40.2663107,Harrisburg,PA,2017-06-20,1200,Workers & Labor Rights,General Awareness,Oppose state right-to-work legislation
-75.1635755,39.9524152,Philadelphia,PA,2017-04-22,14500,U.S. Politics,Scientific Funding,March for Science
-75.1635755,39.9524152,Philadelphia,PA,2017-04-15,2000,U.S. Politics,Politician Opposition,demand Trump tax returns
-75.1635755,39.9524152,Philadelphia,PA,2017-04-29,2000,Environmental & Food Justice,Climate Justice,People's Climate March
-75.1635755,39.9524152,Philadelphia,PA,2017-08-16,2200,Racial Justice,Anti-Racism,Philly Is Charlottesville March and Rally; Unmasking White Supremacy in Philadelphia
-75.1635755,39.9524152,Philadelphia,PA,2017-08-31,2000,Other,Pro-Police,Condemn a protest outside officer's home
-75.1635755,39.9524152,Philadelphia,PA,2017-02-04,2000,Racial Justice,Immigrant Rights,immigration ban
-75.1635755,39.9524152,Philadelphia,PA,2017-02-02,800,Racial Justice,Immigrant Rights,Immigration ban
-75.1635755,39.9524152,Philadelphia,PA,2018-02-24,1000,Workers & Labor Rights,General Awareness,Rallying for worker's rights
-75.1635755,39.9524152,Philadelphia,PA,2017-03-02,2000,Religious & Cultural Justice,Against Anti-Semitism,rally against anti-Semitism
-75.1635755,39.9524152,Philadelphia,PA,2017-05-01,1000,Workers & Labor Rights,Health & Safety Protections,May Day; unfair working conditions
-75.1635755,39.9524152,Philidelphia,PA,2018-01-20,50000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-79.9900861,40.4416941,Pittsburgh,PA,2017-04-22,3350,U.S. Politics,Scientific Funding,March for Science
-79.9900861,40.4416941,Pittsburgh,PA,2018-01-21,50000,Women's Rights,General Awareness,Empower Voters to Support Womens's Rights
-79.9900861,40.4416941,Pittsburgh,PA,2017-06-11,150000,LGBTQ+ Rights,Pride,Equality March
-79.9900861,40.4416941,Pittsburgh,PA,2017-06-24,1600,U.S. Politics,Health Care,don't take our health care rally
-79.9900861,40.4416941,Pittsburgh,PA,2017-06-03,1143,U.S. Politics,Politician Opposition,Demand investigation into Trump-Russia ties
-79.9900861,40.4416941,Pittsburgh,PA,2017-05-17,1000,U.S. Politics,Health Care,Protesting heathcare cuts
-75.9279495,40.335345,Reading,PA,2017-12-03,1616,U.S. Politics,Anti-Budget Cuts,Protesting GOP tax plan
-77.8600000,40.7934000,State College,PA,2018-01-20,500,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-75.9466000,41.5387000,Tunkhannock,PA,2017-07-20,500,U.S. Politics,Corporate Support ,Support proposed Atlantic Sunrise natural gas pipeline
-66.1057000000000,18.4655000,San Juan,PR,2017-05-01,2000,Workers & Labor Rights,General Awareness,May Day; denounce economic situation
-71.4128000,41.8240000,Providence,RI,2017-02-25,500,U.S. Politics,Health Care,Pro ACA
-71.4128000,41.8240000,Providence,RI,2018-02-06,900,Workers & Labor Rights,Living Wages,Protesting stalled labor contract talks
-71.4128000,41.8240000,Providence,RI,2018-01-20,1000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-71.4128000,41.8240000,Providence,RI,2017-05-01,2000,Workers & Labor Rights,General Awareness,"May Day; deportation; wage theft"" profiling"
-79.9402728,32.7876012,Charleston,SC,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-79.9402728,32.7876012,Charleston,SC,2018-01-20,3500,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-82.3984882,34.851354,Greenville,SC,2018-01-20,1200,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-82.3984882,34.851354,Greenville,SC,2017-10-16,2000,U.S. Politics,Politician Opposition,Trump rallying for McMaster's gubernatorial campaign
-103.228006,44.081176,Rapid City,SD,2017-04-22,1000,U.S. Politics,Scientific Funding,March for Science
-96.700327,43.5499749,Sioux Falls,SD,2018-01-20,2500,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-96.700327,43.5499749,Sioux Falls,SD,2017-06-11,600,LGBTQ+ Rights,Pride,Equality March
-85.3096801,35.0456297,Chattanooga,TN,2017-04-22,1000,U.S. Politics,Scientific Funding,March for Science
-85.3096801,35.0456297,Chattanooga,TN,2018-01-20,3000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-82.3534728,36.3134398,Johnson City,TN,2018-01-20,2000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-83.9210261,35.9603948,Knoxville,TN,2017-08-26,2800,Racial Justice,Anti-Racism,Counter-protest white supremacist rally
-83.9210261,35.9603948,Knoxville,TN,2017-02-01,1000,Racial Justice,Immigrant Rights,protest immigration ban
-83.9210261,35.9603948,Knoxville,TN,2018-01-21,14000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-83.9210261,35.9603948,Knoxville,TN,2018-01-21,700,U.S. Politics,Health Care,Protest abortion
-90.0516285,35.1490215,Memphis,TN,2017-02-01,2000,Racial Justice,Immigrant Rights,Immigration ban
-90.0516285,35.1490215,Memphis,TN,2018-02-12,1500,Workers & Labor Rights,Living Wages,Rallying for higher minimum wage
-90.0516285,35.1490215,Memphis,TN,2018-01-20,1000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-86.3920452,35.845999,Murfreesboro,TN,2017-10-28,1000,Racial Justice,Anti-Racism ,counter-protest against white nationalists 
-86.7743531,36.1622296,Nashville,TN,2017-04-22,4000,U.S. Politics,Scientific Funding,March for Science
-86.7743531,36.1622296,Nashville,TN,2017-02-01,3000,Racial Justice,Immigrant Rights,Immigration ban
-86.7743531,36.1622296,Nashville,TN,2018-01-20,15000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-86.7743531,36.1622296,Nashville,TN,2017-03-15,2500,U.S. Politics,Politician Opposition,anti-Trump; protest Trump visit
-86.7743531,36.1622296,Nashville,TN,2017-03-15,2000,U.S. Politics,Politician Support,pro-Trump; speech by President
-86.7743531,36.1622296,Nashville,TN,2017-03-04,1000,U.S. Politics,Politician Support,Pro Trump policies
-86.7743531,36.1622296,Nashville,TN,2017-10-25,3000,Other,International Politics ,Rallying in support of Kurdistan
-98.1231000,26.1837000,Alamo,TX,2018-01-27,547,Racial Justice,Immigrant Rights,Protesting Trump's proposal to wall off the reserve
-97.7436995,30.2711286,Austin,TX,2017-04-22,5600,U.S. Politics,Scientific Funding,March for Science
-97.7436995,30.2711286,Austin,TX,2017-04-29,3500,Environmental & Food Justice,Climate Justice,People's Climate March
-97.7436995,30.2711286,Austin,TX,2017-04-15,1460,U.S. Politics,Politician Opposition,demand Trump tax returns
-97.7436995,30.2711286,Austin,TX,2017-04-05,1000,Women's Rights,Reproductive Rights,In support of Planned Parenthood
-97.7436995,30.2711286,Austin,TX,2017-08-19,1200,Racial Justice,Anti-Racism,against white supremacy
-97.7436995,30.2711286,Austin,TX,2017-02-16,620,Racial Justice,Immigrant Rights,Immigrant rights protest
-97.7436995,30.2711286,Austin,TX,2018-02-24,1500,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-97.7436995,30.2711286,Austin,TX,2018-02-11,1100,Women's Rights,General Awareness,Protesting Doritos' new chips for women
-97.7436995,30.2711286,Austin,TX,2018-01-27,5000,U.S. Politics,Health Care,Protesting abortion
-97.7436995,30.2711286,Austin,TX,2018-01-20,2000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-97.7436995,30.2711286,Austin,TX,2017-06-11,2000,LGBTQ+ Rights,Pride,Equality March
-96.7968559,32.7762719,Dallas,TX,2017-04-09,10760,Racial Justice,Immigrant Rights,Mega March against Trump's immigration policies
-96.7968559,32.7762719,Dallas,TX,2017-04-22,2725,U.S. Politics,Scientific Funding,March for Science
-96.7968559,32.7762719,Dallas,TX,2017-08-19,2500,Racial Justice,Anti-Racism,Protesting violence/racism in Charlottesville
-96.7968559,32.7762719,Dallas,TX,2017-02-18,1700,Racial Justice,Immigrant Rights,Immigrant Rights
-96.7968559,32.7762719,Dallas,TX,2018-01-20,7000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-96.7968559,32.7762719,Dallas,TX,2018-01-21,7000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-96.7968559,32.7762719,Dallas,TX,2018-01-20,4500,U.S. Politics,Politician Opposition,impeach Trump; Protesting Trump administration
-97.1413417,33.1838787,Denton,TX,2018-01-20,800,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-106.501349395577,31.8111305,El Paso,TX,2018-01-21,500,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-106.501349395577,31.8111305,El Paso,TX,2017-09-01,1000,Racial Justice,Immigrant Rights,SB-4 Bill
-97.3327459,32.753177,Fort Worth,TX,2017-04-22,1000,U.S. Politics,Scientific Funding,March for Science
-97.3327459,32.753177,Fort Worth,TX,2017-08-27,500,Racial Justice,Anti-Racism,"Love, Hot Hate; against white supremacy"
-97.3327459,32.753177,Fort Worth,TX,2018-01-20,5000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-97.0780654,32.9342919,Grapevine,TX,2017-07-26,600,Workers & Labor Rights,Living Wages,Demand American Airlines provide higher pay and stop shifting maintenance work overseas
-95.3676974,29.7589382,Houston,TX,2017-04-22,15000,U.S. Politics,Scientific Funding,March for Science
-95.3676974,29.7589382,Houston,TX,2017-08-13,603,Racial Justice,Anti-Racism,Protesting violence/racism in Charlottesville
-95.3676974,29.7589382,Houston,TX,2017-02-16,1000,Racial Justice,Immigrant Rights,Immigrant Rights
-95.3676974,29.7589382,Houston,TX,2017-02-05,500,Racial Justice,Immigrant Rights,Protest immigration ban and Trump's policies
-95.3676974,29.7589382,Houston,TX,2018-02-17,1500,U.S. Politics,Health Care,Rallying for suicide prevention
-95.3676974,29.7589382,Houston,TX,2018-02-16,1300,Racial Justice,Immigrant Rights,Rallying for DREAM Act
-95.3676974,29.7589382,Houston,TX,2018-01-20,20000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-96.6154471,33.1976496,McKinney,TX,2018-02-21,670,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-98.3252932,26.2159066,Mission,TX,2017-08-12,1000,Racial Justice,Immigrant Rights,Oppose Trump's border wall plans
-98.4951405,29.4246002,San Antonio,TX,2017-04-22,1700,U.S. Politics,Scientific Funding,March for Science
-98.4951405,29.4246002,San Antonio,TX,2018-01-15,300000,Racial Justice,Anti-Racism,March for racial equality
-98.4951405,29.4246002,San Antonio,TX,2018-01-20,500,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-97.1466695,31.549333,Waco,TX,2017-02-16,1050,Racial Justice,Immigrant Rights,Immigrant Rights
-95.504686,30.1734194,Woodlands,TX,2018-02-17,1500,U.S. Politics,Health Care,Rallying for suicide prevention
-99.5120986,31.8160381,,TX,2017-02-25,1000,Racial Justice,Immigrant Rights,"No Ban, No Wall; pro-immigration"
-111.8102104,40.6196702,Cottonwood Heights,UT,2017-02-09,1200,U.S. Politics,Politician Opposition,"Various, general anti-Trump administration"
-111.8348631,41.7313447,Logan,UT,2017-04-22,500,U.S. Politics,Scientific Funding,March for Science
-111.4979741,40.6460635,Park City,UT,2018-01-20,1000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-111.8904308,40.7670126,Salt Lake City,UT,2017-04-21,3000,U.S. Politics,Politician Support,Bernie Sanders rally
-111.8904308,40.7670126,Salt Lake City,UT,2017-04-22,3000,U.S. Politics,Scientific Funding,March for Science
-111.8904308,40.7670126,Salt Lake City,UT,2017-08-14,2000,Racial Justice,Anti-Racism,Protesting violence/racism in Charlottesville
-111.8904308,40.7670126,Salt Lake City,UT,2017-12-02,5000,Racial Justice,Indigenous Rights,Protesting Trump's monument reduction plan
-111.8904308,40.7670126,Salt Lake City,UT,2017-12-04,2000,Racial Justice,Indigenous Rights,Protesting Trump's monument reduction plan
-111.8904308,40.7670126,Salt Lake City,UT,2017-02-04,3000,U.S. Politics,Politician Opposition,anti-Trump; protest immigration ban
-111.8904308,40.7670126,Salt Lake City,UT,2018-02-20,508,U.S. Politics,Health Care,Rallying for mental health and addiction recovery
-111.8904308,40.7670126,Salt Lake City,UT,2017-07-27,3000,Environmental & Food Justice,Environmental Protection,This Land Is Our Land rally to support public lands and national monuments
-111.8904308,40.7670126,Salt Lake City,UT,2017-05-06,2000,Environmental & Food Justice,Environmental Protection ,in support of the Bears Ears and Grand Staircase Escalante National Monuments
-78.4766781,38.029306,Charlottesville,VA,2017-08-16,2000,Racial Justice,Anti-Racism,Protesting violence/racism in Charlottesville
-78.4766781,38.029306,Charlottesville,VA,2017-08-12,1000,Racial Justice,Anti-Racism,Oppose alt-right rally
-78.4766781,38.029306,Charlottesville,VA,2017-08-16,1000,Racial Justice,Anti-Racism,Memorial service for counter-protestor killed at the Unite the Right rally
-78.4766781,38.029306,Charlottesville,VA,2017-08-12,500,Other,White Nationalism,Unite the Right
-78.4766781,38.029306,Charlottesville,VA,2017-07-08,2000,Racial Justice,Anti-Racism,"Anti-KKK ""BlocKKK Party"""
-77.3063733,38.8462236,Fairfax,VA,2018-01-19,5300,U.S. Politics,Health Care,Protesting abortion
-76.2929252,36.8462923,Norfolk,VA,2018-01-20,649,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-77.3579743,38.9584018,Reston,VA,2017-03-04,500,Other,Other,in protest of the paid parking system implemented by Reston Town Center
-77.436000000000,37.5407000,Richmond,VA,2017-12-02,500,Environmental & Food Justice,Environmental Protection,Protesting proposed pipeline
-77.436000000000,37.5407000,Richmond,VA,2018-01-20,3500,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-77.436000000000,37.5407000,Richmond,VA,2017-07-16,700,Other,International Politics,symbolic plebiscite against the Venezuelan president
-77.436000000000,37.5407000,Richmond,VA,2017-10-19,7000,U.S. Politics,Politician Support,Campaign rally for Ralph Northam
-79.9602096795782,37.274532,Roanoke,VA,2018-01-20,4000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-76.7074042,37.2708788,Williamsburg,VA,2018-01-20,1000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-72.575684,44.260445,Montpelier,VT,2017-04-29,3000,Environmental & Food Justice,Climate Justice,People's Climate March
-72.575684,44.260445,Montpelier,VT,2017-04-12,1500,Environmental & Food Justice,Climate Justice,climate change march
-72.575684,44.260445,Montpelier,VT,2018-01-20,3000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-122.4788602,48.754402,Bellingham,WA,2017-04-22,2000,U.S. Politics,Scientific Funding,March for Science
-122.4788602,48.754402,Bellingham,WA,2018-02-21,2000,U.S. Politics,Gun Control,Protesting gun violence in the wake of school shooting
-122.4788602,48.754402,Bellingham,WA,2018-01-20,2500,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-123.0171242,48.5342662,Friday Harbor,WA,2018-01-20,1000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-122.334,48.4212,Mount Vernon,WA,2017-02-12,700,Racial Justice,Immigrant Rights,"Immigrant Rights, Farm Worker Rights"
-122.8948725,47.0450197,Olympia,WA,2017-04-22,4450,U.S. Politics,Scientific Funding,March for Science
-122.8948725,47.0450197,Olympia,WA,2017-04-15,560,U.S. Politics,Politician Opposition,demand Trump tax returns
-122.8948725,47.0450197,Olympia,WA,2017-02-27,1500,Racial Justice,Immigrant Rights,pro-immigration
-122.8948725,47.0450197,Olympia,WA,2017-02-20,500,U.S. Politics,Politician Opposition,Not My President Day; anti-Trump
-122.8948725,47.0450197,Olympia,WA,2018-01-20,8000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-122.8948725,47.0450197,Olympia,WA,2018-01-22,5000,U.S. Politics,Health Care,Protesting attempts to expand contraceptive insurance
-122.7679629,48.1185325,Port Townsend,WA,2018-01-20,3000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-117.173895,46.7304268,Pullman,WA,2017-04-22,1000,U.S. Politics,Scientific Funding,March for Science
-119.2769067,46.2778406,Richland,WA,2018-01-21,1000,Women's Rights,General Awareness,Empower Voters to Support Womens's Rights
-122.3300624,47.6038321,Seattle,WA,2017-04-22,10650,U.S. Politics,Scientific Funding,March for Science
-122.3300624,47.6038321,Seattle,WA,2017-04-15,4000,U.S. Politics,Politician Opposition,demand Trump tax returns
-122.3300624,47.6038321,Seattle,WA,2017-04-29,2675,Environmental & Food Justice,Climate Justice,People's Climate March
-122.3300624,47.6038321,Seattle,WA,2017-04-15,2000,U.S. Politics,Politician Opposition,demand Trump tax returns; decry Washington state's regressive tax system
-122.3300624,47.6038321,Seattle,WA,2017-04-16,2000,Racial Justice,Anti-Police Brutality,against police violence
-122.3300624,47.6038321,Seattle,WA,2017-08-26,2700,Racial Justice,Anti-Racism,"Removal of Confederate Statue, White Supremacists outnumbered by counter-protestors"
-122.3300624,47.6038321,Seattle,WA,2017-02-11,1100,LGBTQ+ Rights,General Awareness,LBGTQ rights
-122.3300624,47.6038321,Seattle,WA,2018-02-25,500,Racial Justice,Immigrant Rights,Rallying for easier access to green cards
-122.3300624,47.6038321,Seattle,WA,2018-01-20,175000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-122.3300624,47.6038321,Seattle,WA,2018-01-15,2000,Racial Justice,Anti-Racism,March for racial equality
-122.3300624,47.6038321,Seattle,WA,2017-06-25,200000,LGBTQ+ Rights,Pride,Pride Parade
-122.3300624,47.6038321,Seattle,WA,2017-06-11,2000,LGBTQ+ Rights,Pride,Equality March
-122.3300624,47.6038321,Seattle,WA,2017-06-03,538,U.S. Politics,Politician Opposition,Demand investigation into Trump-Russia ties
-122.3300624,47.6038321,Seattle,WA,2017-03-04,2000,Racial Justice,Anti-Racism,Immigration; President Trump; juvenile justice; several other causes
-117.4212265,47.6579425,Spokane,WA,2017-04-22,1010,U.S. Politics,Scientific Funding,March for Science
-117.4212265,47.6579425,Spokane,WA,2018-01-21,6500,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-117.4212265,47.6579425,Spokane,WA,2018-01-20,500,U.S. Politics,Health Care,Anti-Abortion March For Life
-122.4398746,47.2495798,Tacoma,WA,2017-04-22,1000,U.S. Politics,Scientific Funding,March for Science
-120.5108421,46.601557,Yakima,WA,2018-01-20,800,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-89.3837613,43.074761,Madison,WI,2017-04-22,4450,U.S. Politics,Scientific Funding,March for Science
-89.3837613,43.074761,Madison,WI,2017-04-22,3625,Environmental & Food Justice,Climate Justice,Madison Climate March
-89.3837613,43.074761,Madison,WI,2017-03-08,1060,Women's Rights,General Awareness,A Day Without a Woman
-87.922497,43.0349931,Milwaukee,WI,2017-04-22,1010,U.S. Politics,Scientific Funding,March for Science
-87.922497,43.0349931,Milwaukee,WI,2017-02-13,15000,Racial Justice,Immigrant Rights,Against Milwaukee Sheriff arresting undocumented immigrants
-87.922497,43.0349931,Milwaukee,WI,2018-01-20,3000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights
-87.922497,43.0349931,Milwaukee,WI,2017-05-01,2000,Workers & Labor Rights,General Awareness,May Day
-87.922497,43.0349931,Milwaukee,WI,2017-09-06,2000,Racial Justice,Immigrant Rights,Protesting Trump's decision to end DACA
-87.71453,43.7508284,Sheboygan,WI,2017-03-20,500,Racial Justice,Immigrant Rights,oppose immigration ordinance
-81.6332812,38.3505995,Charleston,WV,2017-02-05,1000,Racial Justice,Immigrant Rights,Immigration ban
-81.6332812,38.3505995,Charleston,WV,2018-02-17,12000,Workers & Labor Rights,General Awareness,Rallying for state workers
-81.6332812,38.3505995,Charleston,WV,2018-02-22,5000,U.S. Politics,Education,Rallying for better pay and benefits for teachers
-81.6332812,38.3505995,Charleston,WV,2018-02-26,2000,Workers & Labor Rights,General Awareness,Labor protest
-81.6332812,38.3505995,Charleston,WV,2018-01-31,500,U.S. Politics,Health Care,Rallying for more expansive healthcare coverage
-80.4570191,37.7806769,Fairlea,WV,2017-06-20,1100,Other,Other,Eastern National Rally by the Christian Motorcyclists Association
-82.445154,38.4192496,Huntington,WV,2017-08-03,9000,U.S. Politics,Politician Support,Make American Great Again rally
-79.9559437,39.6296809,Morgantown,WV,2017-04-22,500,U.S. Politics,Scientific Funding,March for Science
-79.9559437,39.6296809,Morgantown,WV,2017-07-09,500,U.S. Politics,Anti-Budget Cuts,Care Not Cuts
-104.820200,41.140000,Cheyenne,WY,2018-01-20,1000,Women's Rights,General Awareness,Empower Voters to Support Women's Rights