Year,Total,United Kingdom,EU 14,EU 8,EU 2,EU Other,Europe Other,Middle East and Central Asia,East Asia,South Asia,South East Asia,Sub-Saharan Africa,North Africa,North America,Central and South America,Oceania
2005,59629,54037,1209,276,13,99,262,190,219,1217,227,997,84,227,386,174
2006,60036,53986,1246,436,17,96,274,217,207,1344,230,1054,94,236,410,173
2007,60522,54102,1258,599,42,88,260,266,226,1379,257,1082,81,256,421,193
2008,61022,54225,1267,701,76,92,253,292,250,1433,293,1171,99,250,417,173
2009,61461,54415,1272,756,97,91,254,314,242,1492,287,1209,109,270,433,196
2010,61958,54699,1280,819,136,79,255,319,270,1531,317,1213,118,283,419,193
2011,62480,54787,1327,1008,148,81,257,347,301,1628,336,1248,116,276,411,178
2012,62893,55042,1376,1031,166,79,303,361,301,1657,322,1211,108,311,421,175
2013,63270,55309,1374,1092,189,88,311,349,290,1705,327,1220,94,284,411,187
2014,63686,55375,1456,1242,235,93,289,398,280,1739,331,1208,108,299,396,201
2015,64265,55642,1501,1298,288,95,316,393,302,1716,333,1279,120,312,421,195
2016,64727,55554,1596,1443,395,102,340,424,328,1802,368,1234,153,314,449,204
2017,65176,55777,1686,1444,474,101,358,398,331,1826,388,1271,153,294,444,214