year,interstateTotalVmt,otherNatlHighwayVmt,otherFedAidVmt,nonFedAidVmt,interstateFatalities,otherNatlHighwayFatalities,otherFedAidFatalities,nonFedAidFatalities,interstateMilage
1967,111164,347900,170479,334462,3220,21318,11268,15753,25642
1968,126273,362190,180749,346657,3759,21615,12537,15852,27604
1969,145016,374698,188894,353183,4215,21425,12936,16467,29638
1970,161048,381730,198935,368011,4326,20704,13049,15737,31543
1971,179659,400186,214356,384610,4637,20717,12908,15645,32988
1972,199580,407998,276428,375780,4835,20715,15224,14826,34393
1973,215547,427176,310504,359883,4946,20361,16264,13525,35461
1974,213925,410117,326308,330194,3321,15788,14638,12302,36273
1975,230212,402622,369955,324875,3282,15243,15425,11550,37392
1976,250583,422683,408537,320577,3541,15440,14426,12116,38182
1977,267788,439593,425539,334107,4130,16113,14822,12813,38907
1978,292918,447021,460235,344530,4644,16762,16040,12885,39412
1979,293049,448457,467917,319710,4444,16765,17008,12876,39777
1980,296326,451829,465650,313490,4447,16845,16742,13057,41120
1981,305783,457962,469844,321719,4552,16832,16119,11798,42286
1982,318425,469073,488060,319452,4099,14679,14736,10431,42482
1983,337720,483172,508767,323129,3999,14161,14218,10211,43012
1984,353443,506386,525892,334548,4320,14369,15342,10346,43291
1985,370545,518832,538694,346755,4166,14139,15477,10043,43588
1986,391515,538171,554091,351095,4302,14750,15830,11205,43844
1987,415329,557769,594195,353911,4634,15475,15647,10634,44318
1988,440010,579873,621221,384858,5125,15022,15810,11130,44629
1989,461820,584290,645641,404736,5003,14245,15594,10740,44849
1990,479074,601423,657628,406237,4959,13769,15336,10535,45074
1991,490336,608118,670847,402749,4490,13130,13679,10209,45279
1992,508822,680175,710415,347739,4205,10098,15182,9745,45467
1993,525707,449330,970439,350902,4244,10754,14986,10150,45508
1994,546145,461528,995968,353947,4312,4434,22170,9802,45583
1995,564910,476774,1020198,360941,4450,8192,19198,9930,45744
1996,584384,494320,1037588,365910,5159,8222,19504,9022,46036
1997,601492,509495,1060743,388642,5314,7784,19413,9456,46068
1998,625469,528479,1072471,398948,5367,8209,18031,9068,46334
1999,643190,544382,1085963,417800,5583,7845,18069,9426,46317
2000,661645,556239,1110087,418954,5673,7572,17462,9132,46673
2001,673605,567825,1123648,432261,5665,7763,18446,9856,46472
2002,688580,580792,1146041,440343,5749,7639,18532,10532,46748
2003,702578,589181,1158807,440327,5614,7810,18904,9700,46769
2004,721381,602734,1190503,447895,5762,7818,19140,9182,46837
2005,727860,607698,1201054,453195,5874,7720,18678,9031,46871
2006,735133,610963,1210479,457541,5489,7675,18887,9357,46893
2007,739753,615632,1214206,460231,5266,7331,18319,9258,46672
2008,719341,599928,1198367,455873,4675,6652,16590,8846,47016